
### Skeleton (220)
FJ1535M  FMA22753   muscle     Left longissimus thoracis
FJ1561   FMA46310   muscle     Left longus capitis
FJ1522M  FMA23090   muscle     Left lumbar rotator
FJ1308   FMA49057   muscle     Left medial rectus
FJ2754   FMA46634   muscle     Left middle pharyngeal constrictor
FJ1562   FMA46322   muscle     Left mylohyoid
FJ2780   FMA46585   muscle     Left oblique arytenoid
FJ1563   FMA32537   muscle     Left obliquus capitis inferior
FJ1564   FMA32535   muscle     Left obliquus capitis superior
FJ1425M  FMA22327   muscle     Left obturator externus
FJ1426M  FMA22325   muscle     Left obturator internus
FJ1565   FMA13349   muscle     Left omohyoid
FJ1501M  FMA37391   muscle     Left opponens pollicis
FJ2743   FMA46672   muscle     Left palatopharyngeus
FJ1502M  FMA38464   muscle     Left palmaris longus
FJ1427M  FMA22451   muscle     Left pectineus
FJ1456M  FMA13376   muscle     Left pectoralis minor
FJ1428M  FMA22341   muscle     Left piriformis
FJ1429M  FMA22561   muscle     Left plantaris
FJ1558   FMA45740   muscle     Left platysma
FJ1430M  FMA22592   muscle     Left popliteus
FJ2782   FMA46578   muscle     Left posterior crico-arytenoid
FJ1503M  FMA38455   muscle     Left pronator quadratus
FJ1431M  FMA22343   muscle     Left psoas major
FJ2744   FMA55620   muscle     Left pterygomandibular raphe
FJ1457M  FMA45855   muscle     Left pubococcygeus
FJ2545   FMA45855   muscle     Left pubococcygeus
FJ1458M  FMA45857   muscle     Left puborectalis
FJ2546   FMA45857   muscle     Left puborectalis
FJ1432M  FMA22339   muscle     Left quadratus femoris
FJ1566   FMA46314   muscle     Left rectus capitis anterior
FJ1569   FMA46318   muscle     Left rectus capitis lateralis
FJ1567   FMA32531   muscle     Left rectus capitis posterior major
FJ1568   FMA32533   muscle     Left rectus capitis posterior minor
FJ1433M  FMA38929   muscle     Left rectus femoris
FJ1536M  FMA13382   muscle     Left rhomboid major
FJ1537M  FMA13384   muscle     Left rhomboid minor
FJ2745   FMA46670   muscle     Left salpingopharyngeus
FJ1434M  FMA22355   muscle     Left sartorius
FJ1570   FMA13393   muscle     Left scalenus anterior
FJ1571   FMA13391   muscle     Left scalenus medius
FJ1572   FMA13389   muscle     Left scalenus posterior
FJ1435M  FMA22449   muscle     Left semimembranosus
FJ1538M  FMA22877   muscle     Left semispinalis capitis
FJ1539M  FMA22875   muscle     Left semispinalis cervicis
FJ1540M  FMA22873   muscle     Left semispinalis thoracis
FJ1436M  FMA22359   muscle     Left semitendinosus
FJ1459M  FMA13399   muscle     Left serratus anterior
FJ1541M  FMA13406   muscle     Left serratus posterior inferior
FJ1542M  FMA13404   muscle     Left serratus posterior superior
FJ1437M  FMA22559   muscle     Left soleus
